Date,Away,Home,Model Away%,Model Home%,DK Away Odds,DK Home Odds,MGM Away Odds,MGM Home Odds,DK Edge Away,MGM Edge Away,DK Edge Home,MGM Edge Home,Away SP,Away Hand,Away Reliability%,Away SP Velo,Away SP Spin,Away SP Whiff,Home SP,Home Hand,Home Reliability%,Home SP Velo,Home SP Spin,Home SP Whiff,Away Lineup OPS,Home Lineup OPS,Away BP ERA(7d),Home BP ERA(7d),Away Line Move,Home Line Move,Sharp Signal,Lineup Source,Park Factor,Flag,Odds Warning
2026-07-18,Pittsburgh Pirates,Cleveland Guardians,62.8,37.2,-131,109,-135,110,+6.1%,+5.4%,-10.6%,-10.4%,Mason Montgomery,L,18.5,94.6,2332.0,13.1,Logan Allen,L,2.0,86.9,2157.0,7.2,0.821,0.623,3.5,3.33,4.8,-4.6,CONFIRMED ✓,CONFIRMED+PLATOON,98,,
2026-07-18,Pittsburgh Pirates,Cleveland Guardians,62.8,37.2,-131,109,-135,110,+6.1%,+5.4%,-10.6%,-10.4%,Mason Montgomery,L,18.5,94.6,2332.0,13.1,Logan Allen,L,2.0,86.9,2157.0,7.2,0.821,0.623,3.5,3.33,4.8,-4.6,CONFIRMED ✓,CONFIRMED+PLATOON,98,,
2026-07-18,Minnesota Twins,Chicago Cubs,None,None,123,-149,120,-145,N/A,N/A,N/A,N/A,Taj Bradley,R,51.3,92.8,2180.0,10.4,Matthew Boyd,R,0,None,None,None,0.756,0.732,2.33,3.67,-1.9,2.0,N/A,CONFIRMED+PLATOON,104,,
2026-07-18,New York Mets,Philadelphia Phillies,49.1,50.9,142,-172,145,-175,+7.8% ** BET **,+8.3%,-12.3%,-12.7%,Sean Manaea,L,37.5,84.9,2102.0,9.4,Jesús Luzardo,L,55.2,90.8,2201.0,13.2,0.747,0.711,1.93,2.0,-7.7,7.5,CONFIRMED ✓,CONFIRMED+PLATOON,105,** BET **,
2026-07-18,Chicago White Sox,Toronto Blue Jays,52.7,47.3,-108,-111,-110,-110,+0.8%,+0.3%,-5.3%,-5.1%,Davis Martin,R,50.2,90.1,2483.0,10.8,Shane Bieber,R,8.8,88.3,2343.0,8.5,0.809,0.718,1.67,8.28,5.0,-5.0,CONFIRMED ✓,CONFIRMED+PLATOON,100,,
2026-07-18,Cincinnati Reds,Colorado Rockies,40.3,59.7,-117,-103,-115,-105,-13.6%,-13.2%,+9.0%,+8.5%,Rhett Lowder,R,34.8,89.2,2324.0,7.5,Tomoyuki Sugano,R,42.2,88.2,2300.0,6.9,0.682,0.786,5.0,4.68,2.7,-2.5,FADE ✗,CONFIRMED+PLATOON,118,,
2026-07-18,Baltimore Orioles,Houston Astros,37.0,63.0,-110,-110,-110,-110,-15.4%,-15.4%,+10.6%,+10.6%,Trevor Rogers,L,45.2,89.2,2187.0,10.3,Spencer Arrighetti,R,41.0,84.5,2484.0,9.8,0.754,0.888,1.67,4.15,0.9,-0.7,N/A,CONFIRMED+PLATOON,99,,
2026-07-18,San Diego Padres,Kansas City Royals,37.9,62.1,-111,-108,-110,-110,-14.7%,-14.5%,+10.2%,+9.7%,Griffin Canning,R,27.8,90.2,2224.0,9.5,Randy Dobnak,R,4.8,88.4,2041.0,4.4,0.664,0.72,5.27,5.88,-0.2,0.2,N/A,CONFIRMED+PLATOON,99,,
2026-07-18,St. Louis Cardinals,Arizona Diamondbacks,54.2,45.8,100,-120,100,-120,+4.2% ** BET **,+4.2% ** BET **,-8.7%,-8.7%,Dustin May,R,46.5,92.7,2530.0,9.5,Brandon Pfaadt,R,26.8,88.9,2443.0,9.9,0.746,0.717,2.33,2.67,N/A,N/A,N/A,CONFIRMED+PLATOON,97,** BET **,
2026-07-18,Tampa Bay Rays,Boston Red Sox,42.8,57.2,103,-125,100,-120,-6.5%,-7.2%,+1.6%,+2.7%,Ian Seymour,L,32.3,85.8,1995.0,12.8,Patrick Sandoval,L,2.2,87.6,2270.0,9.2,0.732,0.797,6.09,1.22,0.7,-0.6,N/A,CONFIRMED+PLATOON,104,,
2026-07-18,Texas Rangers,Atlanta Braves,None,None,-105,-114,-105,-115,N/A,N/A,N/A,N/A,MacKenzie Gore,L,52.5,90.2,2175.0,10.6,Owen Murphy,R,0,None,None,None,0.731,0.719,10.04,2.77,14.0,-14.0,N/A,CONFIRMED+PLATOON,102,,
2026-07-18,Miami Marlins,Milwaukee Brewers,41.6,58.4,119,-144,120,-145,-4.1%,-3.9%,-0.6%,-0.8%,Max Meyer,R,54.0,91.0,2570.0,11.4,Shane Drohan,L,35.0,90.0,2535.0,11.1,0.724,0.783,2.93,6.35,0.8,-0.8,N/A,CONFIRMED+PLATOON,100,,
2026-07-18,San Francisco Giants,Seattle Mariners,54.2,45.8,148,-179,150,-185,+13.9%,+14.2%,-18.4%,-19.1%,Logan Webb,R,50.2,88.9,2024.0,8.1,Bryan Woo,R,52.2,92.5,2289.0,11.2,0.775,0.731,1.0,4.5,-0.7,0.7,N/A,CONFIRMED+PLATOON,96,,
2026-07-18,Washington Nationals,Athletics,None,None,-142,118,-145,118,N/A,N/A,N/A,N/A,Zack Littell,R,45.0,88.0,1879.0,7.4,J.T. Ginn,R,0,None,None,None,0.748,0.745,4.0,11.16,0.5,-0.2,N/A,CONFIRMED+PLATOON,95,,
2026-07-18,Detroit Tigers,Los Angeles Angels,59.0,41.0,-156,129,-155,125,-1.9%,-1.8%,-2.7%,-3.4%,Tarik Skubal,L,37.8,92.7,2171.0,15.3,Grayson Rodriguez,R,15.5,89.9,2243.0,7.8,0.722,0.743,3.0,3.96,14.8,-15.1,CONFIRMED ✓,CONFIRMED+PLATOON,97,,
2026-07-18,Los Angeles Dodgers,New York Yankees,54.1,45.9,-120,100,-105,-115,-0.4%,+2.9%,-4.1%,-7.6%,Emmet Sheehan,R,41.2,88.9,2269.0,13.9,Ryan Weathers,L,48.8,89.0,2330.0,10.6,0.774,0.736,4.0,2.0,-2.0,1.8,FADE ✗,PARTIAL,101,,
