date,new_games,total_games,accuracy,brier
2026-04-22,110,7398,0.6273,0.2281
2026-04-24,105,7418,0.6462,0.2257
2026-04-28,107,7474,0.6183,0.2358
2026-05-04,106,7555,0.6404,0.2287
2026-05-11,101,7643,0.6394,0.2285
2026-05-13,105,7673,0.6364,0.228
2026-05-26,194,7835,0.6362,0.2277
2026-05-27,95,7850,0.5801,0.2394
2026-05-27,110,7865,0.5754,0.2403
2026-05-28,95,7864,0.6256,0.2263
2026-06-04,90,7954,0.6207,0.2283
2026-06-17,90,8044,0.6169,0.2291
2026-07-16,60,8103,0.6007,0.2328
2026-07-16,60,8103,0.6127,0.2305
2026-07-20,49,8149,0.6114,0.2302
2026-07-23,95,8194,0.6014,0.2326
2026-07-23,95,8194,0.6119,0.2305
